No.     name     n    m   |  lan: f       nf   ng  flag | MF0: f         nf  ng  iter flag |  MF2: f       nf   ng  iter flag |  MF4: f       nf   ng iter  flag |  MF6: f       nf   ng iter  flag
 31  CHANDHEU   10   10:  |  6.2112e-09   13   14     0 |  0.0000e+00   10   10    9     2 |  0.0000e+00   10   10    9     2 |  0.0000e+00   10   10    9     2 |  0.0000e+00   10   10    9     2
 32   CLUSTER    2    2:  |  3.7778e-09   11   11     0 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2
 33    CUBENE    2    2:  |  7.4316e-17   36   33     0 |  0.0000e+00   11    5    4     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
 34  DECONVNE   63   40:  |  4.5764e-07   40   35     0 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2
 35  DRCAVTY1  196  100:  |  3.0577e-11   48   40     0 |  0.0000e+00   14    8    7     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2
 36  DRCAVTY2  196  100:  |  5.4496e-03   66   57     8 |  0.0000e+00   32   11   10     2 |  0.0000e+00   34   22   21     2 |  0.0000e+00   11   11   10     2 |  0.0000e+00   11   11   10     2
 37  DRCAVTY3  196  100:  |  2.9487e-04   45   38     8 |  0.0000e+00 1001   74   73     0 |  0.0000e+00 1001  169  168     0 |  0.0000e+00 1001  241  240     0 |  0.0000e+00  668  271  270     2
 38    DTOC1L   58   36:  |  7.3593e-02   13   12     0 |  7.3595e-02   19   19   18     2 |  7.3595e-02   19   19   18     2 |  7.3595e-02   19   19   18     2 |  7.3595e-02   19   19   18     2
 39     DTOC2   58   36:  |  4.8598e-01   22   21     0 |  4.8598e-01   50   50   49     2 |  4.8598e-01   50   50   49     2 |  4.8598e-01   50   50   49     2 |  4.8598e-01   50   50   49     2
 40     DTOC3   29   18:  |  2.2459e+02   21   22     0 |  2.2459e+02    8    8    7     2 |  2.2459e+02    8    8    7     2 |  2.2459e+02    8    8    7     2 |  2.2459e+02    8    8    7     2
 41     DTOC4   29   18:  |  3.7508e+00   17   18     0 |  3.7508e+00    7    7    6     2 |  3.7508e+00    7    7    6     2 |  3.7508e+00    7    7    6     2 |  3.7508e+00    7    7    6     2
 42     DTOC5  199   99:  |  1.5326e+00   20   21     0 |  1.5326e+00   20   20   19     2 |  1.5326e+00   20   20   19     2 |  1.5326e+00   20   20   19     2 |  1.5326e+00   20   20   19     2
 43     DTOC6  201  100:  |  7.2795e+02   49   50     0 |  7.2798e+02   70   44   43     2 |  7.2798e+02  112  101  100     2 |  7.2798e+02  132  105  104     2 |  7.2798e+02  148  121  120     2
 44   EIGENA2  110   55:  |  1.8017e-25   38   35     0 |  7.1264e-21    4    3    2     2 |  7.1264e-21    6    6    5     2 |  7.1264e-21    8    8    7     2 |  7.1264e-21   10   10    9     2
 45  EIGENACO  110   55:  |  6.7121e-13   24   24     0 |  7.1264e-21    4    3    2     2 |  7.1264e-21    6    6    5     2 |  7.1264e-21    8    8    7     2 |  7.1264e-21   10   10    9     2
 46   EIGENAU  110  110:  |  1.4887e-12   24   22     0 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2
 47    EIGENB  110  110:  |  1.4769e-09  181  149     0 |  0.0000e+00   47    9    8    -1 |  0.0000e+00   45    9    8    -1 |  0.0000e+00   45    9    8    -1 |  0.0000e+00   45    9    8    -1
 48   EIGENB2  110   55:  |  5.5367e-10   45   40     0 |  1.8000e+01    4    3    2     2 |  1.8000e+01    6    6    5     2 |  1.8000e+01    8    8    7     2 |  1.8000e+01   10   10    9     2
 49  EIGENBCO  110   55:  |  3.4450e-10  124  102     0 |  9.0000e+00    4    3    2     2 |  9.0000e+00    6    6    5     2 |  9.0000e+00    8    8    7     2 |  9.0000e+00   10   10    9     2
 50    EIGENC  462  462:  |  2.0266e-10  585  483     0 |  0.0000e+00   39   13   12     2 |  0.0000e+00   44   27   26     2 |  0.0000e+00   43   29   28     2 |  0.0000e+00   39   29   28     2
 51   EIGENC2  462  231:  |  1.3992e-11  623  517     0 |  3.7253e+01 1001   54   53     0 |  2.2792e+04 1001  196  195     0 |  1.3994e+07 1001  187  186     0 |  1.3994e+07 1001  187  186     0
 52  EIGENCCO  462  231:  |  2.2015e-11  290  239     0 |  3.6259e+01 1001   60   59     0 |  1.2473e+17 1001  334  333     0 |  8.1284e+18 1001  243  242     0 |  8.1284e+18 1001  243  242     0
 53      ELEC  300  100:  |  4.4484e+03   82   66     0 |  7.1806e+03  680   23   22    -1 |  1.6324e+03 1001  420  419     0 |  2.5724e+03 1001  549  548     0 |  9.9047e+02 1001  626  625     0
 54  FLOSP2TH  363  323:  |  8.9974e+00  255  255     8 |  0.0000e+00 1001   77   76     0 |  0.0000e+00    5    5    4    -3 |  0.0000e+00    7    7    6    -3 |  0.0000e+00    8    8    7    -3
 55  FLOSP2TM  363  323:  |  4.5862e+00 1000 1001     8 |  0.0000e+00  188   26   25     2 |  0.0000e+00  170   59   58     2 |  0.0000e+00   57   27   26     2 |  0.0000e+00   10   10    9     2
 56   GENHS28   10    8:  |  9.2717e-01    6    7     0 |  9.2717e-01    8    8    7     2 |  9.2717e-01    8    8    7     2 |  9.2717e-01    8    8    7     2 |  9.2717e-01    8    8    7     2
 57    GOTTFR    2    2:  |  9.6014e-12   30   26     0 |  0.0000e+00    9    6    5     2 |  0.0000e+00   11    9    8     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2
 58  GRIDNETB  180  100:  |  4.7268e+01   21   22     0 |  4.7268e+01   44   44   43     2 |  4.7268e+01   44   44   43     2 |  4.7268e+01   44   44   43     2 |  4.7268e+01   44   44   43     2
 59  GRIDNETE  180  100:  |  5.0600e+01   21   22     0 |  5.0600e+01   50   50   49     2 |  5.0600e+01   50   50   49     2 |  5.0600e+01   50   50   49     2 |  5.0600e+01   50   50   49     2
 60    HAGER1   21   10:  |  8.8097e-01    7    8     0 |  8.8097e-01   10   10    9     2 |  8.8097e-01   10   10    9     2 |  8.8097e-01   10   10    9     2 |  8.8097e-01   10   10    9     2
 61    HAGER2   21   10:  |  4.3257e-01    8    9     0 |  4.3257e-01    8    8    7     2 |  4.3257e-01    8    8    7     2 |  4.3257e-01    8    8    7     2 |  4.3257e-01    8    8    7     2
 62    HAGER3   21   10:  |  1.4103e-01    7    8     0 |  1.4103e-01   11   11   10     2 |  1.4103e-01   11   11   10     2 |  1.4103e-01   11   11   10     2 |  1.4103e-01   11   11   10     2
 63   HATFLDF    3    3:  |  3.4889e-11   27   23     0 |  0.0000e+00 1001   47   46     0 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2 |  0.0000e+00    8    8    7     2
 64   HATFLDG   25   25:  |  8.2302e-10   16   15     0 |  0.0000e+00   23    7    6     2 |  0.0000e+00   27   13   12     2 |  0.0000e+00   24   14   13     2 |  0.0000e+00   12   12   11     2
 65    HEART6    6    6:  |  7.5419e-02 1000  868     8 |  0.0000e+00   87   25   24     2 |  0.0000e+00 1001  241  240     0 |  0.0000e+00 1001  323  322     0 |  0.0000e+00 1001  395  394     0
 66    HEART8    8    8:  |  2.3419e-12  375  338     0 |  0.0000e+00   34   12   11     2 |  0.0000e+00   38   26   25     2 |  0.0000e+00   26   21   20     2 |  0.0000e+00   30   25   24     2
 67  HIMMELBA    2    2:  |  0.0000e+00    2    3     0 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2
 68  HIMMELBC    2    2:  |  1.5603e-13    8    8     0 |  0.0000e+00    7    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2
 69  HIMMELBE    3    3:  |  1.5777e-30    3    4     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
 70  HS100LNP    7    2:  |  6.8063e+02   33   31     0 |  6.8063e+02   48   18   17     2 |  6.8063e+02  373   98   97     2 |  5.7229e+04 1001  171  170     0 |  5.7229e+04 1001  171  170     0
 71  HS111LNP   10    3:  | -4.7761e+01   55   53     0 | -4.7761e+01 1001  165  164     0 | -4.7761e+01  131  106  105     2 | -4.7761e+01  304  227  226     2 | -4.7761e+01  193  164  163     2
 72      HS26    3    1:  |  6.3150e-09   39   34     0 |  7.7366e-10   27   20   19     2 |  5.8563e-10   35   28   27     2 |  5.8563e-10   35   28   27     2 |  5.8563e-10   35   28   27     2
 73      HS27    3    1:  |  4.0000e-02   16   16     0 |  4.0000e-02   39   26   25     2 |  4.0000e-02   32   30   29     2 |  4.0000e-02   37   35   34     2 |  4.0000e-02   37   35   34     2
 74      HS28    3    1:  |  4.8934e-30    3    4     0 |  4.8195e-12    9    8    7     2 |  4.8195e-12   11   11   10     2 |  4.8195e-12   13   13   12     2 |  4.8195e-12   15   15   14     2
 75      HS39    4    2:  | -1.0000e+00   20   21     0 | -1.0000e+00   25   19   18     2 | -1.0000e+00   29   27   26     2 | -1.0000e+00   49   42   41     2 | -1.0000e+00   55   48   47     2
 76      HS40    4    3:  | -2.5000e-01   10   11     0 | -2.5000e-01    5    5    4     2 | -2.5000e-01    5    5    4     2 | -2.5000e-01    5    5    4     2 | -2.5000e-01    5    5    4     2
 77      HS42    4    2:  |  1.3858e+01   12   13     0 |  1.3858e+01   11    7    6     2 |  1.3858e+01   18   18   17     2 |  1.3858e+01   24   24   23     2 |  1.3858e+01   30   30   29     2
 78      HS46    5    2:  |  3.1734e-10   26   24     0 |  1.2644e-07   15   11   10     2 |  8.0970e-10   53   40   39     2 |  2.9570e-10   55   40   39     2 |  2.9570e-10   55   40   39     2
 79      HS47    5    3:  |  8.7370e-11   21   21     0 |  9.0657e-09   29   19   18     2 | -2.6714e-02  221   87   86     2 | -2.6714e-02  171   52   51     2 | -2.6714e-02  171   52   51     2
 80      HS48    5    2:  |  6.9025e-31    3    4     0 |  4.1955e-14   12    9    8     2 |  4.1955e-14   16   15   14     2 |  4.1955e-14   20   19   18     2 |  4.1955e-14   24   23   22     2
 81      HS49    5    2:  |  2.2188e-08   15   16     0 |  6.7470e-08   25   21   20     2 |  6.7470e-08   26   23   22     2 |  6.7470e-08   26   23   22     2 |  6.7470e-08   26   23   22     2
 82      HS50    5    3:  |  5.3045e-13   12   13     0 |  3.8687e-12   24   14   13     2 |  3.8687e-12   27   19   18     2 |  3.8687e-12   28   20   19     2 |  3.8687e-12   28   20   19     2
 83      HS51    5    3:  |  2.5884e-31    2    3     0 |  7.9210e-12    9    8    7     2 |  7.9210e-12   11   11   10     2 |  7.9210e-12   13   13   12     2 |  7.9210e-12   15   15   14     2
 84      HS52    5    3:  |  5.3266e+00    6    7     0 |  5.3266e+00   13    7    6     2 |  5.3266e+00   15   10    9     2 |  5.3266e+00   17   12   11     2 |  5.3266e+00   19   14   13     2
 85      HS56    7    4:  | -3.4560e+00   19   17     0 | -3.4560e+00   13    8    7     2 | -3.4560e+00  118   85   84     2 | -4.2362e+24   28   28   27    -3 | -4.2362e+24   30   30   29    -3
 86       HS6    2    1:  |  2.7850e-14   56   49     0 |  2.6681e-01 1001   36   35     0 |  1.4912e+00 1001  133  132     0 |  3.2280e-15   18   17   16     2 |  3.2280e-15   20   19   18     2
 87      HS61    3    2:  | -1.4365e+02   19   18     0 | -1.4365e+02  211   19   18     2 | -1.4365e+02   48   19   18     2 | -1.4365e+02  204   62   61     2 | -1.4365e+02   60   31   30     2
 88       HS7    2    1:  | -1.7321e+00   18   18     0 | -1.7321e+00   37   12   11     2 | -1.7321e+00   44   24   23     2 | -1.7321e+00   50   30   29     2 | -1.7321e+00   56   36   35     2
 89      HS77    5    2:  |  2.4151e-01   24   22     0 |  9.0125e+01 1001   62   61     0 |  2.4151e-01   68   36   35     2 |  2.4151e-01   70   38   37     2 |  2.4151e-01   72   40   39     2
 90      HS78    5    3:  | -2.9197e+00   11   11     0 | -2.9197e+00    9    9    8     2 | -2.9197e+00    9    9    8     2 | -2.9197e+00    9    9    8     2 | -2.9197e+00    9    9    8     2
 91      HS79    5    3:  |  7.8777e-02    9   10     0 |  7.8777e-02   11   10    9     2 |  7.8777e-02   30   30   29     2 |  7.8777e-02   32   32   31     2 |  7.8777e-02   34   34   33     2
 92       HS8    2    2:  | -1.0000e+00   11   11     0 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2
 93       HS9    2    1:  | -5.0000e-01    4    5     0 | -5.0000e-01    6    6    5     2 | -5.0000e-01    6    6    5     2 | -5.0000e-01    6    6    5     2 | -5.0000e-01    6    6    5     2
 94  HYDCAR20   99   99:  |  1.0177e-03 1000  978     8 |  0.0000e+00   12   10    9     2 |  0.0000e+00    9    9    8     2 |  0.0000e+00    9    9    8     2 |  0.0000e+00    9    9    8     2
 95   HYDCAR6   29   29:  |  1.5810e-05 1000  981     8 |  0.0000e+00    6    5    4     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2
 96    HYPCIR    2    2:  |  4.1941e-15    8    8     0 |  0.0000e+00    6    5    4     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2
 97  INTEGREQ  102  100:  |  2.6462e-11    3    4     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
 98       LCH  300    1:  | -4.2887e+00   33   33     0 |  3.8633e+04  652   28   27    -1 | -7.2880e+13  163   10    9    -1 | -7.2880e+13  163   10    9    -1 | -7.2880e+13  163   10    9    -1
 99   MARATOS    2    1:  | -1.0000e+00    7    8     0 | -1.0000e+00    4    4    3     2 | -1.0000e+00    4    4    3     2 | -1.0000e+00    4    4    3     2 | -1.0000e+00    4    4    3     2
100  METHANB8   31   31:  |  9.8942e-07  149  150     0 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
101  METHANL8   31   31:  |  5.7801e-07  692  686     0 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2 |  0.0000e+00    5    5    4     2
102    MSQRTA    4    4:  |  6.2623e-12   15   15     0 |  0.0000e+00    6    4    3     2 |  0.0000e+00    7    7    6     2 |  0.0000e+00    7    7    6     2 |  0.0000e+00    7    7    6     2
103    MSQRTB    9    9:  |  4.8784e-11   13   12     0 |  0.0000e+00    9    6    5     2 |  0.0000e+00    7    7    6     2 |  0.0000e+00    7    7    6     2 |  0.0000e+00    7    7    6     2
104   MWRIGHT    5    3:  |  2.4979e+01   20   20     0 |  2.4979e+01   24   10    9     2 |  1.2884e+00   88   33   32     2 |  1.2884e+00   88   33   32     2 |  1.2884e+00   88   33   32     2
105  OPTCTRL3  122   80:  |  2.0480e+03   61   62     0 |  2.8352e+09 1001   34   33     0 |  3.2635e+05  278   19   18    -1 |  3.2635e+05  278   19   18    -1 |  3.2635e+05  278   19   18    -1
106  OPTCTRL6  122   80:  |  2.0480e+03   61   62     0 |  2.8352e+09 1001   34   33     0 |  3.2635e+05  278   19   18    -1 |  3.2635e+05  278   19   18    -1 |  3.2635e+05  278   19   18    -1
107  ORTHRDM2  203  100:  |  7.7757e+00  370  321     0 |  7.7757e+00   12   11   10     2 |  7.7757e+00   12   12   11     2 |  7.7757e+00   12   12   11     2 |  7.7757e+00   12   12   11     2
108  ORTHRDS2  203  100:  |  3.0436e+01  650  560     3 |  3.0437e+01   51   33   32     2 |  3.5825e+02 1001  759  758     0 |  3.5157e+02 1001  788  787     0 |  3.4384e+02 1001  824  823     0
109  ORTHREGA  133   64:  |  3.5030e+02  111  106     0 |  4.1452e+02 1001  139  138     0 |  3.7547e+02 1001  958  957     0 |  4.9829e+02 1001  972  971     0 |  4.7195e+02 1001  979  978     0
110  ORTHREGB   27    6:  |  1.8487e-12   98   87     0 |  4.3324e-12    7    7    6     2 |  4.3324e-12    7    7    6     2 |  4.3324e-12    7    7    6     2 |  4.3324e-12    7    7    6     2
111  ORTHREGC   25   10:  |  3.9905e-01   42   36     0 |  3.9906e-01   23   18   17     2 |  3.9906e-01   38   30   29     2 |  3.9906e-01   44   36   35     2 |  3.9906e-01   50   42   41     2
112  ORTHREGC  105   50:  |  4.7694e+00   88   72     0 |  1.9755e+00   42   27   26     2 |  1.9755e+00   52   40   39     2 |  1.9755e+00   62   50   49     2 |  1.9755e+00   72   60   59     2
113  ORTHRGDS  155   76:  |  1.1365e+02 1000  846     1 |  4.4544e+01  345   99   98    -1 |  4.4544e+01  238  187  186     2 |  2.3442e+01   24   24   23     2 |  2.3442e+01   26   26   25     2
114  POWELLBS    2    2:  |  4.6050e-06   47   42     0 |  0.0000e+00  184   41   40     2 |  0.0000e+00  122   67   66     2 |  0.0000e+00   12   12   11     2 |  0.0000e+00   12   12   11     2
115  POWELLSQ    2    2:  |  7.9411e-22   18   16     0 |  0.0000e+00 1001   55   54     0 |  0.0000e+00   37   31   30     2 |  0.0000e+00   28   28   27     2 |  0.0000e+00   28   28   27     2
116    RECIPE    3    3:  |  6.9222e-09   16   17     0 |  0.0000e+00   12   12   11     2 |  0.0000e+00   12   12   11     2 |  0.0000e+00   12   12   11     2 |  0.0000e+00   12   12   11     2
117   RSNBRNE    2    2:  |  5.9301e-13   30   26     0 |  0.0000e+00   22    8    7     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
118  S316-322    2    1:  |  3.3431e+02   23   24     0 |  3.3431e+02   13    7    6     2 |  3.3431e+02   24   15   14     2 |  3.3431e+02   20   20   19     2 |  3.3431e+02   32   23   22     2
119  SINVALNE    2    2:  |  5.6182e-28   33   30     0 |  0.0000e+00   30    6    5     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2 |  0.0000e+00    3    3    2     2
120   TRIGGER    7    6:  |  2.7657e-16   21   20     0 |  0.0000e+00  153   37   36     2 |  0.0000e+00   51   31   30     2 |  0.0000e+00   16   16   15     2 |  0.0000e+00   16   16   15     2
121   YATP1SQ  120  120:  |  1.3465e-10   46   39     0 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2 |  0.0000e+00    6    6    5     2
122   YATP2SQ  120  120:  |  1.8503e+04  293  270     8 |  0.0000e+00   26    8    7     2 |  0.0000e+00 1001  147  146     0 |  0.0000e+00 1001  201  200     0 |  0.0000e+00 1001  251  250     0
123  ZANGWIL3    3    3:  |  3.7865e-29    7    8     0 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2 |  0.0000e+00    2    2    1     2
124       CB2    3    3:  |  1.9522e+00   13   14     0 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2
125       CB3    3    3:  |  2.0000e+00   13   14     0 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2
126  CHARDIS1   40   19:  |  2.6450e+02  105   87     0 |  3.1862e-08  252   60   59     2 |  3.0952e-08  350  222  221     2 |  3.4547e-08  747  476  475     2 |  4.0904e-03 1001  624  623     0
127   ELATTAR    7  102:  |  7.4206e+01  302  254     3 |  7.4206e+01    7    7    6     2 |  7.4206e+01    7    7    6     2 |  7.4206e+01    7    7    6     2 |  7.4206e+01    7    7    6     2
128   EXPFITA    5   22:  |  1.1366e-03   16   17     0 |  1.3308e-03   11   11   10     2 |  1.3308e-03   11   11   10     2 |  1.3308e-03   11   11   10     2 |  1.3308e-03   11   11   10     2
129   EXPFITB    5  102:  |  5.0194e-03   65   66     0 |  5.0194e-03   32   27   26     2 |  5.0194e-03   41   40   39     2 |  5.0194e-03   45   44   43     2 |  5.0194e-03   49   48   47     2
130  GIGOMEZ1    3    3:  | -3.0000e+00   27   25     0 | -2.6060e+00    4    4    3     2 | -2.6060e+00    4    4    3     2 | -2.6060e+00    4    4    3     2 | -2.6060e+00    4    4    3     2
131  GIGOMEZ2    3    3:  |  1.9522e+00   12   13     0 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2 |  1.9522e+00    8    8    7     2
132  GIGOMEZ3    3    3:  |  2.0000e+00   13   13     0 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2
133  GMNCASE1  175  300:  |  2.6673e-01   27   28     0 |  2.6697e-01   17   14   13     2 |  2.6697e-01   21   20   19     2 |  2.6697e-01   25   24   23     2 |  2.6697e-01   29   28   27     2
134    HAIFAM   99  150:  | -4.5000e+01 1000  910     1 | -4.5000e+01 1001  767  766     0 | -4.5000e+01 1001  990  989     0 | -4.5000e+01 1001  998  997     0 | -4.5000e+01 1001  998  997     0
